sg_uf;nr_turno;ds_cargo;nm_candidato;qt_votos_nominais;dt_carga
AC;2;Presidente;FERNANDO HADDAD;86977;2022-11-27 03:24:11
AC;2;Presidente;JAIR MESSIAS BOLSONARO;294899;2022-11-27 03:24:11
AL;2;Presidente;FERNANDO HADDAD;912034;2022-11-27 03:24:11
AL;2;Presidente;JAIR MESSIAS BOLSONARO;610093;2022-11-27 03:24:11
AM;2;Presidente;FERNANDO HADDAD;875845;2022-11-27 03:24:11
AM;2;Presidente;JAIR MESSIAS BOLSONARO;885401;2022-11-27 03:24:11
AP;2;Presidente;FERNANDO HADDAD;183616;2022-11-27 03:24:11
AP;2;Presidente;JAIR MESSIAS BOLSONARO;185096;2022-11-27 03:24:11
BA;2;Presidente;FERNANDO HADDAD;5484901;2022-11-27 03:24:11
BA;2;Presidente;JAIR MESSIAS BOLSONARO;2060382;2022-11-27 03:24:11
CE;2;Presidente;FERNANDO HADDAD;3407526;2022-11-27 03:24:11
CE;2;Presidente;JAIR MESSIAS BOLSONARO;1384591;2022-11-27 03:24:11
DF;2;Presidente;FERNANDO HADDAD;463340;2022-11-27 03:24:11
DF;2;Presidente;JAIR MESSIAS BOLSONARO;1080411;2022-11-27 03:24:11
ES;2;Presidente;FERNANDO HADDAD;747768;2022-11-27 03:24:11
ES;2;Presidente;JAIR MESSIAS BOLSONARO;1276611;2022-11-27 03:24:11
GO;2;Presidente;FERNANDO HADDAD;1118060;2022-11-27 03:24:11
GO;2;Presidente;JAIR MESSIAS BOLSONARO;2124739;2022-11-27 03:24:11
MA;2;Presidente;FERNANDO HADDAD;2428913;2022-11-27 03:24:11
MA;2;Presidente;JAIR MESSIAS BOLSONARO;886565;2022-11-27 03:24:11
MG;2;Presidente;FERNANDO HADDAD;4382952;2022-11-27 03:24:11
MG;2;Presidente;JAIR MESSIAS BOLSONARO;6100107;2022-11-27 03:24:11
MS;2;Presidente;FERNANDO HADDAD;465025;2022-11-27 03:24:11
MS;2;Presidente;JAIR MESSIAS BOLSONARO;872049;2022-11-27 03:24:11
MT;2;Presidente;FERNANDO HADDAD;549001;2022-11-27 03:24:11
MT;2;Presidente;JAIR MESSIAS BOLSONARO;1085824;2022-11-27 03:24:11
PA;2;Presidente;FERNANDO HADDAD;2112769;2022-11-27 03:24:11
PA;2;Presidente;JAIR MESSIAS BOLSONARO;1742188;2022-11-27 03:24:11
PB;2;Presidente;FERNANDO HADDAD;1451293;2022-11-27 03:24:11
PB;2;Presidente;JAIR MESSIAS BOLSONARO;782143;2022-11-27 03:24:11
PE;2;Presidente;FERNANDO HADDAD;3297944;2022-11-27 03:24:11
PE;2;Presidente;JAIR MESSIAS BOLSONARO;1661163;2022-11-27 03:24:11
PI;2;Presidente;FERNANDO HADDAD;1417113;2022-11-27 03:24:11
PI;2;Presidente;JAIR MESSIAS BOLSONARO;422095;2022-11-27 03:24:11
PR;2;Presidente;FERNANDO HADDAD;1948790;2022-11-27 03:24:11
PR;2;Presidente;JAIR MESSIAS BOLSONARO;4224416;2022-11-27 03:24:11
RJ;2;Governador;EDUARDO DA COSTA PAES;3134400;2022-11-27 03:24:11
RJ;2;Governador;WILSON JOS� WITZEL;4675355;2022-11-27 03:24:11
RJ;2;Presidente;FERNANDO HADDAD;2673386;2022-11-27 03:24:11
RJ;2;Presidente;JAIR MESSIAS BOLSONARO;5669059;2022-11-27 03:24:11
RN;2;Presidente;FERNANDO HADDAD;1131027;2022-11-27 03:24:11
RN;2;Presidente;JAIR MESSIAS BOLSONARO;652562;2022-11-27 03:24:11
RO;2;Presidente;FERNANDO HADDAD;229343;2022-11-27 03:24:11
RO;2;Presidente;JAIR MESSIAS BOLSONARO;594968;2022-11-27 03:24:11
RR;2;Presidente;FERNANDO HADDAD;72872;2022-11-27 03:24:11
RR;2;Presidente;JAIR MESSIAS BOLSONARO;183268;2022-11-27 03:24:11
RS;2;Presidente;FERNANDO HADDAD;2263171;2022-11-27 03:24:11
RS;2;Presidente;JAIR MESSIAS BOLSONARO;3893737;2022-11-27 03:24:11
SC;2;Presidente;FERNANDO HADDAD;940724;2022-11-27 03:24:11
SC;2;Presidente;JAIR MESSIAS BOLSONARO;2966242;2022-11-27 03:24:11
SE;2;Presidente;FERNANDO HADDAD;759061;2022-11-27 03:24:11
SE;2;Presidente;JAIR MESSIAS BOLSONARO;364860;2022-11-27 03:24:11
SP;2;Presidente;FERNANDO HADDAD;7212132;2022-11-27 03:24:11
SP;2;Presidente;JAIR MESSIAS BOLSONARO;15306023;2022-11-27 03:24:11
TO;2;Presidente;FERNANDO HADDAD;371593;2022-11-27 03:24:11
TO;2;Presidente;JAIR MESSIAS BOLSONARO;356684;2022-11-27 03:24:11
